iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_tests,new_tests,total_vaccinations,new_vaccinations,population
ALB,Europe,Albania,1/5/2022,212021,0,3224,0,1440931,5694,2367574,11284,2854710
ALB,Europe,Albania,1/11/2022,222664,2177,3247,6,1475224,8136,2419734,9006,2854710
ALB,Europe,Albania,2/15/2022,268491,187,3420,6,1581095,2789,2669695,3891,2854710
ARG,South America,Argentina,1/1/2022,5674428,20020,117181,12,28680676,46481,78272268,4570,45276780
ARG,South America,Argentina,1/2/2022,5694930,20502,117204,23,28753789,73113,78375857,103589,45276780
ARG,South America,Argentina,1/3/2022,5739326,44396,117245,41,28958120,204331,78868704,492847,45276780
ARG,South America,Argentina,1/4/2022,5820536,81210,117294,49,29197425,239305,79420060,551356,45276780
ARG,South America,Argentina,1/5/2022,5915695,95159,117346,52,29462737,265312,79966344,546284,45276780
ARG,South America,Argentina,1/6/2022,6025303,109608,117386,40,29716986,254249,80513577,547233,45276780
ARG,South America,Argentina,1/7/2022,6135836,110533,117428,42,29965146,248160,81085134,571557,45276780
ARG,South America,Argentina,1/8/2022,6237525,101689,117465,37,30110169,145023,81356646,271512,45276780
ARG,South America,Argentina,1/9/2022,6310844,73319,117492,27,30224081,113912,81520871,164225,45276780
ARG,South America,Argentina,1/10/2022,6399196,88352,117543,51,30494797,270716,82037281,516410,45276780
ARG,South America,Argentina,1/11/2022,6533635,134439,117595,52,30739870,245073,82538907,501626,45276780
ARG,South America,Argentina,1/12/2022,6664717,131082,117670,75,30970127,230257,83041031,502124,45276780
ARG,South America,Argentina,1/13/2022,6793119,128402,117808,138,31175949,205822,83507804,466773,45276780
ARG,South America,Argentina,1/14/2022,6932972,139853,117901,93,31390985,215036,83928855,421051,45276780
ARG,South America,Argentina,1/15/2022,7029624,96652,117989,88,31512990,122005,84117094,188239,45276780
ARG,South America,Argentina,1/16/2022,7094865,65241,118040,51,31594895,81905,84250989,133895,45276780
ARG,South America,Argentina,1/17/2022,7197323,102458,118231,191,31788888,193993,84672696,421707,45276780
ARG,South America,Argentina,1/18/2022,7318305,120982,118420,189,31978669,189781,85081000,408304,45276780
ARG,South America,Argentina,1/19/2022,7446626,128321,118628,208,32152499,173830,85468687,387687,45276780
ARG,South America,Argentina,1/20/2022,7576335,129709,118809,181,32316394,163895,85852799,384112,45276780
ARG,South America,Argentina,1/21/2022,7694506,118171,118969,160,32470269,153875,86225308,372509,45276780
ARG,South America,Argentina,1/22/2022,7792652,98146,119103,134,32572326,102057,86398992,173684,45276780
ARG,South America,Argentina,1/23/2022,7862536,69884,119168,65,32639793,67467,86517804,118812,45276780
ARG,South America,Argentina,1/24/2022,7940657,78121,119444,276,32783284,143491,86885426,367622,45276780
ARG,South America,Argentina,1/25/2022,8041520,100863,119703,259,32911335,128051,87233644,348218,45276780
ARG,South America,Argentina,1/26/2022,8130023,88503,120019,316,33023912,112577,87578753,345109,45276780
ARG,South America,Argentina,1/27/2022,8207752,77729,120352,333,33129427,105515,87931761,353008,45276780
ARG,South America,Argentina,1/28/2022,8271636,63884,120657,305,33221272,91845,88280679,348918,45276780
ARG,South America,Argentina,1/29/2022,8313614,41978,120836,179,33276151,54879,88438578,157899,45276780
ARG,South America,Argentina,1/30/2022,8335184,21570,120988,152,33314924,38773,88535087,96509,45276780
ARG,South America,Argentina,1/31/2022,8378656,43472,121273,285,33406743,91819,88894737,359650,45276780
ARG,South America,Argentina,2/1/2022,8427778,49122,121513,240,33487321,80578,89238081,343344,45276780
ARG,South America,Argentina,2/2/2022,8472848,45070,121834,321,33559268,71947,89555852,317771,45276780
ARG,South America,Argentina,2/3/2022,8515285,42437,122152,318,33615597,56329,89836481,280629,45276780
ARG,South America,Argentina,2/4/2022,8555379,40094,122439,287,33674907,59310,90160025,323544,45276780
ARG,South America,Argentina,2/5/2022,8577215,21836,122584,145,33709530,34623,90295694,135669,45276780
ARG,South America,Argentina,2/6/2022,8589879,12664,122684,100,33732502,22972,90387101,91407,45276780
ARG,South America,Argentina,2/7/2022,8615285,25406,122943,259,33790928,58426,90675318,288217,45276780
ARG,South America,Argentina,2/8/2022,8648075,32790,123227,284,33842597,51669,90949055,273737,45276780
ARG,South America,Argentina,2/9/2022,8675327,27252,123444,217,33892728,50131,91251705,302650,45276780
ARG,South America,Argentina,2/10/2022,8700437,25110,123707,263,33943806,51078,91521261,269556,45276780
ARG,South America,Argentina,2/11/2022,8716940,16503,123859,152,33986020,42214,91764161,242900,45276780
ARG,South America,Argentina,2/12/2022,8728262,11322,123987,128,34014776,28756,91888064,123903,45276780
ARG,South America,Argentina,2/13/2022,8734551,6289,124081,94,34034507,19731,91965386,77322,45276780
ARG,South America,Argentina,2/14/2022,8747601,13050,124349,268,34085930,51423,92197154,231768,45276780
ARG,South America,Argentina,2/15/2022,8766174,18573,124585,236,34136285,50355,92416487,219333,45276780
ARG,South America,Argentina,2/16/2022,8783208,17034,124765,180,34184811,48526,92634150,217663,45276780
ARG,South America,Argentina,2/17/2022,8799858,16650,124924,159,34231354,46543,92847565,213415,45276780
ARG,South America,Argentina,2/18/2022,8815247,15389,125062,138,34276589,45235,93065004,217439,45276780
ARG,South America,Argentina,2/19/2022,8823054,7807,125185,123,34303809,27220,93154025,89021,45276780
ARG,South America,Argentina,2/20/2022,8827504,4450,125278,93,34322383,18574,93208237,54212,45276780
ARG,South America,Argentina,2/21/2022,8838674,11170,125451,173,34370336,47953,93413336,205099,45276780
ARG,South America,Argentina,2/22/2022,8855624,16950,125618,167,34417024,46688,93618975,205639,45276780
ARG,South America,Argentina,2/23/2022,8868188,12564,125775,157,34460553,43529,93827267,208292,45276780
ARG,South America,Argentina,2/24/2022,8878486,10298,125872,97,34500403,39850,94000680,173413,45276780
ARG,South America,Argentina,2/25/2022,8887973,9487,125958,86,34540734,40331,94209360,208680,45276780
ARG,South America,Argentina,2/26/2022,8893568,5595,126048,90,34564365,23631,94282399,73039,45276780
ARG,South America,Argentina,2/27/2022,8897178,3610,126120,72,34581688,17323,94317816,35417,45276780
ARG,South America,Argentina,2/28/2022,8900656,3478,126152,32,34603380,21692,94363013,45197,45276780
ARG,South America,Argentina,3/1/2022,8904176,3520,126257,105,34624709,21329,94407126,44113,45276780
ARG,South America,Argentina,3/2/2022,8912317,8141,126390,133,34669933,45224,94542357,135231,45276780
ARG,South America,Argentina,3/3/2022,8921536,9219,126531,141,34714053,44120,94670901,128544,45276780
ARG,South America,Argentina,3/4/2022,8929898,8362,126624,93,34758767,44714,94797214,126313,45276780
ARG,South America,Argentina,3/5/2022,8934328,4430,126708,84,34786086,27319,94856080,58866,45276780
ARG,South America,Argentina,3/6/2022,8936602,2274,126768,60,34804356,18270,94911174,55094,45276780
ARG,South America,Argentina,3/7/2022,8942888,6286,126842,74,34850195,45839,95064610,153436,45276780
ARG,South America,Argentina,3/8/2022,8949362,6474,126901,59,34890813,40618,95169473,104863,45276780
ARG,South America,Argentina,3/9/2022,8955458,6096,126955,54,34931201,40388,95289694,120221,45276780
ARG,South America,Argentina,3/10/2022,8961595,6137,127009,54,34967458,36257,95407064,117370,45276780
ARG,South America,Argentina,3/11/2022,8967210,5615,127051,42,35003044,35586,95535500,128436,45276780
ARG,South America,Argentina,3/12/2022,8970196,2986,127122,71,35025331,22287,95593249,57749,45276780
ARG,South America,Argentina,3/13/2022,8971432,1236,127187,65,35041752,16421,95621659,28410,45276780
ARG,South America,Argentina,3/14/2022,8976079,4647,127257,70,35084694,42942,95728590,106931,45276780
ARG,South America,Argentina,3/15/2022,8981155,5076,127295,38,35125845,41151,95855769,127179,45276780
ARG,South America,Argentina,3/16/2022,8985836,4681,127334,39,35166540,40695,95976358,120589,45276780
ARG,South America,Argentina,3/17/2022,8990413,4577,127363,29,35202042,35502,96093580,117222,45276780
ARG,South America,Argentina,3/18/2022,9004829,14416,127439,76,35232115,30073,96218446,124866,45276780
ARG,South America,Argentina,3/19/2022,9006526,1697,127483,44,35250605,18490,96285890,67444,45276780
ARG,South America,Argentina,3/20/2022,9007753,1227,127494,11,35263305,12700,96317781,31891,45276780
ARG,South America,Argentina,3/21/2022,9011367,3614,127599,105,35297205,33900,96436060,118279,45276780
ARG,South America,Argentina,3/22/2022,9016057,4690,127675,76,35328674,31469,96545276,109216,45276780
